t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ
22049.5,380.02597793370694,0.0,77406.94863315347,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22109.5,337.4612668817619,0.0,70899.64832982255,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22169.5,293.8327427247235,0.0,65792.93985526262,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22229.5,229.58574113653216,0.0,57904.2388590883,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22289.5,343.07788058388144,0.0,50845.45750585686,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22349.5,361.28580393881236,0.0,47988.5265649759,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22409.5,422.4443356536687,0.0,49163.11307496242,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22469.5,398.9746396328304,0.0,54699.80616627502,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22529.5,425.04049506599574,0.0,66252.7306422922,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22589.5,449.59675156147847,0.0,73323.85741297381,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22649.5,492.6882244283877,0.0,80929.9407271353,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22709.5,484.61940576134054,0.0,87371.96298379413,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22769.5,449.21020869575443,0.0,90612.22247998719,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22829.5,486.00214287268415,0.0,92122.0395911151,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22889.5,441.33904751079183,0.0,95088.90943801326,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
22949.5,393.65003026316487,0.0,91554.39037379347,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
23009.5,517.1566819360958,0.0,89890.4983173785,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
23069.5,568.1317254381546,0.0,94273.36686637315,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
23129.5,562.4074560566066,0.0,100710.70560805484,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
23189.5,565.1890040397742,0.0,106889.85743132095,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
